id	year	author	title	tags	link
000000874	1676	Remaʿ.	A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]
003873812	1623	WEBSTER, John	Tragedy of the Dutchesse of Malfy. [In five acts, and in verse.] ... The perfect and exact Coppy, with diverse things printed that the length of the Play would not beare in the presentment
003873814	1640	WEBSTER, John	[The Tragedy of the Dutchesse of Malfy, etc. [A facsimile of the edition of 1623.]]
003873835	1665	WEBSTER, John	[The white devil, etc.]
003873836	1672	WEBSTER, John	[The white devil, etc.]
003873852	1661	WEBSTER, John	A cure for a Cuckold: a pleasant comedy [in five acts and in prose]
003873853	1661	WEBSTER, John	Thracian wonder; a comical history [in five acts and in prose]
003892868	1693	WESLEY, Samuel	Life of Our Blessed Lord &amp; Saviour Jesus Christ. An heroic poem ... Illustrated by necessary notes ... also a prefatory discourse concerning heroic poetry. With sixty copper-plates [by William Faithorne]
003898118	1667	WESTON, John	Amazon Queen; or, The Amours of Thalestris to Alexander the Great. A tragi-comedy [in five acts and in verse]
003903664	1577	Whetstone, George	G. W.'s Metrical Life of G. Gascoigne, the Poet. (A remembraunce of the wel imployed life, and godly end of George Gaskoigne, etc.)
003905215	1680	WHITAKER, William	Conspiracy, or the Change of Government. A tragedy [in five acts, and in verse]
003909236	1679	WHITE alias WHITEBREAD, Thomas	Father Whitebreads Walking Ghost, which lately appear'd to a Cabal of Jesuits in Drury-Lane. [In verse.]
003914756	1633	WHORE	Costlie Whore. A comical Historie [in verse]. Acted by the companie of the Revels
003919856	1697	FLETCHER, John	Rule a Wife, and Have a Wife. A comedy, etc. [By John Fletcher.]
003926212	1611	WILKINS, George	[The Miseries of Enforced Marriage ... 1607.]
003926214	1637	WILKINS, George	[The Miseries of Enforced Marriage ... 1607.]
003948826	1691	D'Urfey, Thomas	Win Her and Take Her, or, Old Fools will be meddling. A Comedy, etc. [in five acts, and in prose with songs, by J. Smith, M.A. With a dedication by C. Underhill.]
003950633	1630	WINE	Wine, Beere, Ale, and Tobacco. Contending for superiority. A Dialogue. The second edition, much enlarged
003968304	1685	WOOD, Fitz Norris.	On the Death of His Late Sacred Majesty King Charles II. ... A Pindarique ode
003984835	1693	WRIGHT, Thomas	Female Vertuoso's. A comedy: as it is acted at the Queen's Theatre, etc. [Taken from Molière's “Les Femmes savantes.”]
003988446	1688	WYCHERLEY, William.	[The Country-Wife, etc.]
003988484	1673	WYCHERLEY, William.	Gentleman Dancing-Master. A comedy, etc. [in five acts and in prose]
003988489	1694	WYCHERLEY, William.	Love in a Wood, or, St. James's Park. A comedy, etc. [in five acts and in prose]
003988493	1677	WYCHERLEY, William.	Plain-Dealer. A comedy, etc. [in five acts, in prose and in verse. Taken from Molière's comedy, “Le Misanthrope.”]
003988497	1686	WYCHERLEY, William.	[The Plain-Dealer. A comedy ... The second edition. [Taken from Molière's comedy 'Le Misanthrope.']]
003988499	1694	WYCHERLEY, William.	[The Plain-Dealer ... The fifth edition.]
004000889	1688	YOUNG, Edward	Idea of Christian Love. Being a translation at the instance of Mr. Waller, of a Latin sermon upon John xiii. 34, 35, preached by ... E. Y. With a large paraphrase of Mr. Waller's Poem of Divine Love. To which are added some copies of verses from ... Mrs. Wharton, with others to her
004077038		ROWLEY, Samuel	noble souldier. Or, A contract broken, justly reveng'd. A tragedy. Written by S. R. [i.e. Samuel Rowley.]
004115138		TOURNEUR, Cyril.	Revenger's Tagaedie. As it hath beene sundry times acted by the Kings Maiesties Seruants. [By C. Tourneur.]
004115208		BROME, Richard.	A Joviall Crew: or, the Merry Beggar. Presented in a comedie, etc
004115209		BROME, Richard.	[A Joviall Crew: or, the Merry Beggar. Presented in a comedie, etc.]
004115210	1684	BROME, Richard.	[A Joviall Crew: or, the Merry Beggar. Presented in a comedie, etc.]
